StationCode,StationName,Latitude,Longitude,Elevation
USC00361139,Butler,40.841500000000003,-79.916300000000007,1000
USC00361485,Clarion,41.1922,-79.436099999999996,1040
USC00361705,Confluence,39.799399999999999,-79.366500000000002,1490
USW00004787,Dubois,41.179470000000002,-78.893259999999998,1805
USW00014860,Erie,42.080300000000001,-80.182400000000001,729
USC00363028,Franklin,41.400399999999998,-79.830500000000001,1015
USC00364214,Indiana,40.597200000000001,-79.118600000000001,1102
USC00364836,Laurel Mountain,40.200400000000002,-79.188199999999995,2760
USC00366233,New Castle,41.017200000000003,-80.361500000000007,825
USW00094823,Pittsburgh,40.4846,-80.214399999999998,1203
USC00368873,Tionesta,41.479199999999999,-79.443200000000004,1200
USC00369050,Uniontown,39.914999999999999,-79.719099999999997,956
USC00369298,Warren,41.846699999999998,-79.1494,1210
USC00369367,Waynesburg,39.898600000000002,-80.165599999999998,940
